Month,Wood Energy Production,Biofuels Production,Total Biomass Energy Production,Total Renewable Energy Production,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Total Biomass Energy Consumption,Total Renewable Energy Consumption
1973 January,129.63,Not Available,129.787,403.981,272.703,1.491,Not Available,Not Available,129.63,0.157,Not Available,129.787,403.981
1973 February,117.194,Not Available,117.338,360.9,242.199,1.363,Not Available,Not Available,117.194,0.144,Not Available,117.338,360.9
1973 March,129.763,Not Available,129.938,400.161,268.81,1.412,Not Available,Not Available,129.763,0.176,Not Available,129.938,400.161
1973 April,125.462,Not Available,125.636,380.47,253.185,1.649,Not Available,Not Available,125.462,0.174,Not Available,125.636,380.47
1973 May,129.624,Not Available,129.834,392.141,260.77,1.537,Not Available,Not Available,129.624,0.21,Not Available,129.834,392.141
1973 June,125.435,Not Available,125.611,377.232,249.859,1.763,Not Available,Not Available,125.435,0.176,Not Available,125.611,377.232
1973 July,129.616,Not Available,129.787,367.325,235.67,1.869,Not Available,Not Available,129.616,0.17,Not Available,129.787,367.325
1973 August,129.734,Not Available,129.918,353.757,222.077,1.762,Not Available,Not Available,129.734,0.184,Not Available,129.918,353.757
1973 September,125.603,Not Available,125.782,307.006,179.733,1.492,Not Available,Not Available,125.603,0.178,Not Available,125.782,307.006
1973 October,129.769,Not Available,129.97,323.453,191.723,1.76,Not Available,Not Available,129.769,0.2,Not Available,129.97,323.453
1973 November,125.492,Not Available,125.643,337.817,210.285,1.889,Not Available,Not Available,125.492,0.151,Not Available,125.643,337.817
1973 December,129.69,Not Available,129.824,406.694,274.435,2.435,Not Available,Not Available,129.69,0.135,Not Available,129.824,406.694
1974 January,130.655,Not Available,130.807,437.467,304.506,2.154,Not Available,Not Available,130.655,0.152,Not Available,130.807,437.467
1974 February,117.949,Not Available,118.091,399.942,279.95,1.901,Not Available,Not Available,117.949,0.142,Not Available,118.091,399.942
1974 March,130.579,Not Available,130.727,423.474,290.582,2.165,Not Available,Not Available,130.579,0.148,Not Available,130.727,423.474
1974 April,126.441,Not Available,126.583,422.323,293.702,2.039,Not Available,Not Available,126.441,0.142,Not Available,126.583,422.323
1974 May,130.659,Not Available,130.789,427.657,294.828,2.04,Not Available,Not Available,130.659,0.129,Not Available,130.789,427.657
1974 June,126.432,Not Available,126.611,409.281,280.695,1.975,Not Available,Not Available,126.432,0.179,Not Available,126.611,409.281
1974 July,130.548,Not Available,130.756,409.719,276.772,2.191,Not Available,Not Available,130.548,0.208,Not Available,130.756,409.719
1974 August,130.574,Not Available,130.763,386.101,253.175,2.163,Not Available,Not Available,130.574,0.189,Not Available,130.763,386.101
1974 September,126.454,Not Available,126.637,353.91,225.274,1.999,Not Available,Not Available,126.454,0.183,Not Available,126.637,353.91
1974 October,130.562,Not Available,130.718,343.703,210.955,2.03,Not Available,Not Available,130.562,0.156,Not Available,130.718,343.703
1974 November,126.352,Not Available,126.506,351.633,222.713,2.414,Not Available,Not Available,126.352,0.155,Not Available,126.506,351.633
1974 December,130.555,Not Available,130.674,376.642,243.428,2.54,Not Available,Not Available,130.555,0.119,Not Available,130.674,376.642
1975 January,127.128,Not Available,127.269,392.756,263.371,2.117,Not Available,Not Available,127.128,0.14,Not Available,127.269,392.756
1975 February,114.829,Not Available,114.942,368.278,251.317,2.019,Not Available,Not Available,114.829,0.113,Not Available,114.942,368.278
1975 March,127.127,Not Available,127.251,423.49,293.961,2.277,Not Available,Not Available,127.127,0.124,Not Available,127.251,423.49
1975 April,123.022,Not Available,123.139,405.368,279.947,2.281,Not Available,Not Available,123.022,0.117,Not Available,123.139,405.368
1975 May,127.13,Not Available,127.303,421.283,291.504,2.475,Not Available,Not Available,127.13,0.173,Not Available,127.303,421.283
1975 June,123.048,Not Available,123.241,411.622,285.31,3.07,Not Available,Not Available,123.048,0.193,Not Available,123.241,411.622
1975 July,127.125,Not Available,127.288,398.459,268.081,3.091,Not Available,Not Available,127.125,0.163,Not Available,127.288,398.459
1975 August,127.136,Not Available,127.321,368.23,237.557,3.351,Not Available,Not Available,127.136,0.185,Not Available,127.321,368.23
1975 September,123.052,Not Available,123.21,341.957,215.793,2.954,Not Available,Not Available,123.052,0.158,Not Available,123.21,341.957
1975 October,127.151,Not Available,127.312,368.786,238.068,3.406,Not Available,Not Available,127.151,0.161,Not Available,127.312,368.786
1975 November,123.039,Not Available,123.18,383.196,256.706,3.31,Not Available,Not Available,123.039,0.141,Not Available,123.18,383.196
1975 December,127.138,Not Available,127.277,403.696,272.99,3.429,Not Available,Not Available,127.138,0.138,Not Available,127.277,403.696
1976 January,144.91,Not Available,145.049,421.775,273.323,3.403,Not Available,Not Available,144.91,0.14,Not Available,145.049,421.775
1976 February,135.559,Not Available,135.695,396.173,257.277,3.2,Not Available,Not Available,135.559,0.136,Not Available,135.695,396.173
1976 March,144.914,Not Available,145.051,427.044,278.567,3.426,Not Available,Not Available,144.914,0.137,Not Available,145.051,427.044
1976 April,140.237,Not Available,140.363,396.931,253.482,3.086,Not Available,Not Available,140.237,0.126,Not Available,140.363,396.931
1976 May,144.913,Not Available,145.047,415.728,267.732,2.949,Not Available,Not Available,144.913,0.134,Not Available,145.047,415.728
1976 June,140.244,Not Available,140.405,411.555,268.088,3.063,Not Available,Not Available,140.244,0.161,Not Available,140.405,411.555
1976 July,144.898,Not Available,145.088,421.425,273.026,3.311,Not Available,Not Available,144.898,0.19,Not Available,145.088,421.425
1976 August,144.918,Not Available,145.11,398.129,249.759,3.26,Not Available,Not Available,144.918,0.192,Not Available,145.11,398.129
1976 September,140.271,Not Available,140.436,356.984,213.376,3.173,Not Available,Not Available,140.271,0.165,Not Available,140.436,356.984
1976 October,144.94,Not Available,145.114,369.186,220.99,3.082,Not Available,Not Available,144.94,0.174,Not Available,145.114,369.186
1976 November,140.481,Not Available,140.651,351.386,208.138,2.597,Not Available,Not Available,140.481,0.171,Not Available,140.651,351.386
1976 December,145.201,Not Available,145.364,360.834,212.507,2.963,Not Available,Not Available,145.201,0.163,Not Available,145.364,360.834
1977 January,156.074,Not Available,156.22,378.521,219.069,3.232,Not Available,Not Available,156.074,0.146,Not Available,156.22,378.521
1977 February,141.046,Not Available,141.176,304.328,160.329,2.823,Not Available,Not Available,141.046,0.13,Not Available,141.176,304.328
1977 March,156.072,Not Available,156.217,368.966,209.549,3.2,Not Available,Not Available,156.072,0.146,Not Available,156.217,368.966
1977 April,151.013,Not Available,151.161,351.301,197.287,2.854,Not Available,Not Available,151.013,0.148,Not Available,151.161,351.301
1977 May,156.032,Not Available,156.186,356.923,197.656,3.081,Not Available,Not Available,156.032,0.155,Not Available,156.186,356.923
1977 June,150.997,Not Available,151.153,336.485,182.303,3.029,Not Available,Not Available,150.997,0.156,Not Available,151.153,336.485
1977 July,155.742,Not Available,155.92,336.903,177.779,3.204,Not Available,Not Available,155.742,0.178,Not Available,155.92,336.903
1977 August,155.909,Not Available,156.081,335.881,176.863,2.937,Not Available,Not Available,155.909,0.172,Not Available,156.081,335.881
1977 September,150.938,Not Available,151.11,328.075,173.821,3.144,Not Available,Not Available,150.938,0.172,Not Available,151.11,328.075
1977 October,155.998,Not Available,156.172,341.368,181.908,3.288,Not Available,Not Available,155.998,0.174,Not Available,156.172,341.368
1977 November,150.888,Not Available,151,370.168,215.864,3.303,Not Available,Not Available,150.888,0.112,Not Available,151,370.168
1977 December,155.816,Not Available,155.935,400.048,240.826,3.288,Not Available,Not Available,155.816,0.119,Not Available,155.935,400.048
1978 January,173.005,Not Available,173.128,438.983,262.529,3.326,Not Available,Not Available,173.005,0.123,Not Available,173.128,438.983
1978 February,156.277,Not Available,156.387,391.866,232.625,2.854,Not Available,Not Available,156.277,0.11,Not Available,156.387,391.866
1978 March,173.026,Not Available,173.136,433.459,257.965,2.359,Not Available,Not Available,173.026,0.11,Not Available,173.136,433.459
1978 April,167.244,Not Available,167.349,434.379,265.041,1.989,Not Available,Not Available,167.244,0.105,Not Available,167.349,434.379
1978 May,172.806,Not Available,172.923,475.883,301.188,1.772,Not Available,Not Available,172.806,0.117,Not Available,172.923,475.883
1978 June,167.239,Not Available,167.34,432.628,263.109,2.179,Not Available,Not Available,167.239,0.101,Not Available,167.34,432.628
1978 July,172.825,Not Available,172.912,431.461,256.107,2.441,Not Available,Not Available,172.825,0.087,Not Available,172.912,431.461
1978 August,173.009,Not Available,173.189,408.417,232.357,2.871,Not Available,Not Available,173.009,0.18,Not Available,173.189,408.417
1978 September,167.32,Not Available,167.455,392.287,221.801,3.031,Not Available,Not Available,167.32,0.134,Not Available,167.455,392.287
1978 October,173.027,Not Available,173.169,379.436,204.012,2.254,Not Available,Not Available,173.027,0.142,Not Available,173.169,379.436
1978 November,167.438,Not Available,167.557,379.078,208.974,2.547,Not Available,Not Available,167.438,0.12,Not Available,167.557,379.078
1978 December,172.935,Not Available,173.06,407.564,231.275,3.228,Not Available,Not Available,172.935,0.126,Not Available,173.06,407.564
1979 January,182.453,Not Available,182.6,447.796,262.096,3.099,Not Available,Not Available,182.453,0.147,Not Available,182.6,447.796
1979 February,164.927,Not Available,165.096,390.487,222.855,2.535,Not Available,Not Available,164.927,0.169,Not Available,165.096,390.487
1979 March,182.64,Not Available,182.881,457.799,271.516,3.402,Not Available,Not Available,182.64,0.241,Not Available,182.881,457.799
1979 April,176.707,Not Available,176.844,445.932,265.941,3.146,Not Available,Not Available,176.707,0.138,Not Available,176.844,445.932
1979 May,182.561,Not Available,182.782,489.08,303.134,3.164,Not Available,Not Available,182.561,0.221,Not Available,182.782,489.08
1979 June,176.662,Not Available,176.833,441.683,261.646,3.204,Not Available,Not Available,176.662,0.17,Not Available,176.833,441.683
1979 July,182.536,Not Available,182.7,424.513,238.414,3.398,Not Available,Not Available,182.536,0.165,Not Available,182.7,424.513
1979 August,182.638,Not Available,182.808,409.21,222.695,3.707,Not Available,Not Available,182.638,0.17,Not Available,182.808,409.21
1979 September,176.766,Not Available,176.891,378.903,198.794,3.217,Not Available,Not Available,176.766,0.125,Not Available,176.891,378.903
1979 October,182.63,Not Available,182.752,397.602,211.243,3.607,Not Available,Not Available,182.63,0.121,Not Available,182.752,397.602
1979 November,176.767,Not Available,176.949,414.74,234.286,3.505,Not Available,Not Available,176.767,0.182,Not Available,176.949,414.74
1979 December,182.568,Not Available,182.77,425.109,238.063,4.275,Not Available,Not Available,182.568,0.202,Not Available,182.77,425.109
1980 January,209.613,Not Available,209.829,478.943,265.618,3.495,Not Available,Not Available,209.613,0.216,Not Available,209.829,478.943
1980 February,196.117,Not Available,196.31,424.298,224.631,3.357,Not Available,Not Available,196.117,0.193,Not Available,196.31,424.298
1980 March,209.598,Not Available,209.727,469.134,255.676,3.731,Not Available,Not Available,209.598,0.129,Not Available,209.727,469.134
1980 April,202.768,Not Available,202.894,477.356,270.552,3.909,Not Available,Not Available,202.768,0.127,Not Available,202.894,477.356
1980 May,209.394,Not Available,209.548,517.456,303.305,4.603,Not Available,Not Available,209.394,0.154,Not Available,209.548,517.456
1980 June,202.609,Not Available,202.723,497.768,290.604,4.441,Not Available,Not Available,202.609,0.114,Not Available,202.723,497.768
1980 July,209.449,Not Available,209.554,471.331,257.106,4.67,Not Available,Not Available,209.449,0.106,Not Available,209.554,471.331
1980 August,209.544,Not Available,209.675,429.358,214.693,4.991,Not Available,Not Available,209.544,0.131,Not Available,209.675,429.358
1980 September,202.79,Not Available,202.905,401.712,194.301,4.506,Not Available,Not Available,202.79,0.115,Not Available,202.905,401.712
1980 October,209.602,Not Available,209.717,402.564,187.73,5.117,Not Available,Not Available,209.602,0.115,Not Available,209.717,402.564
1980 November,202.831,Not Available,202.945,409.876,201.929,5.002,Not Available,Not Available,202.831,0.114,Not Available,202.945,409.876
1980 December,209.546,Not Available,209.671,448.546,233.998,4.877,Not Available,Not Available,209.546,0.125,Not Available,209.671,448.546
1981 January,211.988,1.08,220.544,462.381,236.553,5.284,Not Available,Not Available,211.988,7.476,1.08,220.544,462.381
1981 February,191.528,0.976,199.248,427.043,223.123,4.671,Not Available,Not Available,191.528,6.744,0.976,199.248,427.043
1981 March,212.042,1.08,220.595,443.808,217.976,5.237,Not Available,Not Available,212.042,7.472,1.08,220.595,443.808
1981 April,205.195,1.045,213.467,438.02,219.717,4.836,Not Available,Not Available,205.195,7.226,1.045,213.467,438.02
1981 May,211.883,1.08,220.433,480.423,255.2,4.791,Not Available,Not Available,211.883,7.469,1.08,220.433,480.423
1981 June,204.976,1.045,213.237,496.995,278.976,4.782,Not Available,Not Available,204.976,7.216,1.045,213.237,496.995
1981 July,211.838,1.08,220.392,491.304,265.656,5.256,Not Available,Not Available,211.838,7.473,1.08,220.392,491.304
1981 August,211.846,1.08,220.428,454.028,228.409,5.191,Not Available,Not Available,211.846,7.501,1.08,220.428,454.028
1981 September,205.148,1.045,213.48,407.22,188.516,5.224,Not Available,Not Available,205.148,7.287,1.045,213.48,407.22
1981 October,212.004,1.08,220.581,416.966,191.231,5.153,Not Available,Not Available,212.004,7.497,1.08,220.581,416.966
1981 November,205.166,1.045,213.437,418.476,200.541,4.498,Not Available,Not Available,205.166,7.226,1.045,213.437,418.476
1981 December,211.948,1.08,220.44,477.024,252.071,4.513,Not Available,Not Available,211.948,7.412,1.08,220.44,477.024
1982 January,213.205,2.922,226.251,514.44,284.215,3.975,Not Available,Not Available,213.205,10.124,2.922,226.251,514.44
1982 February,192.598,2.639,204.375,489.624,281.593,3.656,Not Available,Not Available,192.598,9.137,2.639,204.375,489.624
1982 March,213.132,2.922,226.157,544.724,315.347,3.22,Not Available,Not Available,213.132,10.103,2.922,226.157,544.724
1982 April,206.24,2.828,218.821,517.128,295.061,3.247,Not Available,Not Available,206.24,9.753,2.828,218.821,517.128
1982 May,213.101,2.922,226.135,525.795,295.887,3.773,Not Available,Not Available,213.101,10.112,2.922,226.135,525.795
1982 June,206.255,2.828,218.866,518.974,295.552,4.556,Not Available,Not Available,206.255,9.784,2.828,218.866,518.974
1982 July,213.146,2.922,226.202,519.267,288.273,4.792,Not Available,Not Available,213.146,10.135,2.922,226.202,519.267
1982 August,213.158,2.922,226.168,483.203,252.259,4.776,Not Available,Not Available,213.158,10.087,2.922,226.168,483.203
1982 September,206.364,2.828,218.947,433.748,210.219,4.581,Not Available,Not Available,206.364,9.755,2.828,218.947,433.748
1982 October,213.332,2.922,226.373,439.874,208.623,4.877,Not Available,Not Available,213.332,10.119,2.922,226.373,439.874
1982 November,206.347,2.828,218.948,469.93,245.861,5.122,Not Available,Not Available,206.347,9.772,2.828,218.948,469.93
1982 December,213.17,2.922,226.21,522.93,292.668,4.053,Not Available,Not Available,213.17,10.118,2.922,226.21,522.93
1983 January,227.926,5.363,246.575,562.279,310.615,5.087,Not Available,0.002,227.926,13.286,5.363,246.575,562.279
1983 February,205.87,4.844,222.738,523.276,296.625,3.913,Not Available,0,205.87,12.023,4.844,222.738,523.276
1983 March,227.938,5.363,246.61,572.853,321.73,4.51,Not Available,0.003,227.938,13.309,5.363,246.61,572.853
1983 April,220.561,5.19,238.625,561.458,318.603,4.227,Not Available,0.002,220.561,12.875,5.19,238.625,561.458
1983 May,227.897,5.363,246.647,581.741,331.656,3.434,Not Available,0.003,227.897,13.387,5.363,246.647,581.741
1983 June,220.582,5.19,238.736,569.493,326.237,4.518,Not Available,0.002,220.582,12.964,5.19,238.736,569.493
1983 July,227.933,5.363,246.651,550.993,298.715,5.627,Not Available,0.001,227.933,13.354,5.363,246.651,550.993
1983 August,227.978,5.363,246.695,528.288,274.189,7.404,Not Available,0,227.978,13.354,5.363,246.695,528.288
1983 September,220.641,5.19,238.755,476.173,230.65,6.764,Not Available,0.004,220.641,12.924,5.19,238.755,476.173
1983 October,228.031,5.363,246.732,474.251,220.423,7.091,Not Available,0.005,228.031,13.338,5.363,246.732,474.251
1983 November,220.719,5.19,238.78,507.035,261.94,6.311,Not Available,0.004,220.719,12.872,5.19,238.78,507.035
1983 December,228.194,5.363,246.871,587.773,335.876,5.025,Not Available,0.001,228.194,13.314,5.363,246.871,587.773
1984 January,227.551,6.547,251.483,570.081,313.504,5.094,-0.001,0,227.551,17.385,6.547,251.483,570.081
1984 February,212.673,6.125,235.169,535.239,293.845,6.222,0.001,0.002,212.673,16.371,6.125,235.169,535.239
1984 March,227.378,6.547,251.529,579.04,320.67,6.838,0.002,0.002,227.378,17.603,6.547,251.529,579.04
1984 April,219.904,6.336,243.277,566.019,315.985,6.748,0.003,0.006,219.904,17.037,6.336,243.277,566.019
1984 May,227.242,6.547,251.408,593.504,335.607,6.473,0.007,0.008,227.242,17.619,6.547,251.408,593.504
1984 June,219.914,6.336,243.303,553.321,303.719,6.283,0.01,0.006,219.914,17.053,6.336,243.303,553.321
1984 July,227.458,6.547,251.632,547.618,289.982,5.997,0.003,0.005,227.458,17.627,6.547,251.632,547.618
1984 August,227.481,6.547,251.638,524.053,264.894,7.509,0.009,0.003,227.481,17.61,6.547,251.638,524.053
1984 September,220.21,6.336,243.596,470.91,220.536,6.763,0.01,0.005,220.21,17.049,6.336,243.596,470.91
1984 October,227.64,6.547,251.974,479.62,220.205,7.424,0.007,0.009,227.64,17.786,6.547,251.974,479.62
1984 November,220.555,6.336,244.068,486.11,234.699,7.331,0.004,0.009,220.555,17.177,6.336,244.068,486.11
1984 December,227.811,6.547,252.042,532.347,272.166,8.127,0,0.013,227.811,17.684,6.547,252.042,532.347
1985 January,228.394,7.911,256.315,555.205,290.793,8.086,0.005,0.007,228.394,20.009,7.911,256.315,555.205
1985 February,206.294,7.146,231.512,511.838,273.175,7.141,-0.001,0.011,206.294,18.072,7.146,231.512,511.838
1985 March,228.374,7.911,256.336,525.002,260.344,8.314,0.001,0.007,228.374,20.05,7.911,256.336,525.002
1985 April,220.463,7.656,247.599,512.937,258.039,7.281,0.013,0.006,220.463,19.48,7.656,247.599,512.937
1985 May,227.858,7.911,255.881,542.968,279.498,7.571,0.015,0.004,227.858,20.111,7.911,255.881,542.968
1985 June,220.471,7.656,247.643,507.33,252.373,7.294,0.016,0.004,220.471,19.517,7.656,247.643,507.33
1985 July,228.091,7.911,256.159,489.577,225.387,8.019,0.011,0.001,228.091,20.156,7.911,256.159,489.577
1985 August,228.276,7.911,256.301,475.912,211.206,8.381,0.021,0.004,228.276,20.113,7.911,256.301,475.912
1985 September,221.006,7.656,247.997,454.274,198.288,7.966,0.014,0.009,221.006,19.334,7.656,247.997,454.274
1985 October,228.287,7.911,256.175,475.406,211.589,7.626,0.01,0.005,228.287,19.977,7.911,256.175,475.406
1985 November,220.962,7.656,248.07,499.606,242.115,9.416,0.003,0.002,220.962,19.452,7.656,248.07,499.606
1985 December,228.29,7.911,256.246,533.96,267.386,10.325,0.002,0.001,228.29,20.044,7.911,256.246,533.96
1986 January,217.84,9.096,249.178,486.064,226.352,10.526,0.007,0.002,217.84,22.242,9.096,249.178,486.064
1986 February,196.536,8.216,224.922,479.122,245.152,9.04,0.006,0.002,196.536,20.171,8.216,224.922,479.122
1986 March,217.379,9.096,248.837,558.538,300.28,9.403,0.011,0.007,217.379,22.362,9.096,248.837,558.538
1986 April,210.372,8.803,240.788,539.897,290.609,8.479,0.014,0.006,210.372,21.613,8.803,240.788,539.897
1986 May,217.424,9.096,248.822,545.072,287.656,8.568,0.019,0.008,217.424,22.302,9.096,248.822,545.072
1986 June,210.444,8.803,240.837,527.412,277.26,9.295,0.015,0.005,210.444,21.591,8.803,240.837,527.412
1986 July,217.598,9.096,249.011,513.292,254.396,9.862,0.017,0.005,217.598,22.317,9.096,249.011,513.292
1986 August,217.76,9.096,249.176,482.847,223.81,9.839,0.017,0.005,217.76,22.32,9.096,249.176,482.847
1986 September,210.699,8.803,241.074,472.114,222.779,8.245,0.015,0.001,210.699,21.572,8.803,241.074,472.114
1986 October,217.574,9.096,248.974,482.113,225.018,8.105,0.013,0.002,217.574,22.304,9.096,248.974,482.113
1986 November,210.647,8.803,241.122,492.321,244.175,7.015,0.009,0,210.647,21.673,8.803,241.122,492.321
1986 December,217.863,9.096,249.352,532.346,273.692,9.299,0.003,0,217.863,22.393,9.096,249.352,532.346
1987 January,209.176,10.423,244.137,521.265,267.809,9.317,0.001,0.001,209.176,24.537,10.423,244.137,521.265
1987 February,188.924,9.415,220.511,452.878,223.722,8.64,0.006,0,188.924,22.172,9.415,220.511,452.878
1987 March,209.117,10.423,244.157,498.782,245.143,9.473,0.009,0,209.117,24.616,10.423,244.157,498.782
1987 April,202.254,10.087,236.139,477.656,232.573,8.929,0.013,0.002,202.254,23.798,10.087,236.139,477.656
1987 May,208.99,10.423,244.007,509.032,255.627,9.382,0.013,0.003,208.99,24.593,10.423,244.007,509.032
1987 June,202.596,10.087,236.522,466.873,220.689,9.635,0.017,0.01,202.596,23.839,10.087,236.522,466.873
1987 July,209.335,10.423,244.359,467.691,213.34,9.961,0.019,0.013,209.335,24.601,10.423,244.359,467.691
1987 August,209.365,10.423,244.396,448.986,194.652,9.923,0.012,0.002,209.365,24.608,10.423,244.396,448.986
1987 September,202.52,10.087,236.298,437.201,191.635,9.257,0.008,0.002,202.52,23.691,10.087,236.298,437.201
1987 October,209.112,10.423,244.059,442.655,189.215,9.375,0.006,0.001,209.112,24.523,10.423,244.059,442.655
1987 November,202.462,10.087,236.197,423.208,177.943,9.064,0.003,0.001,202.462,23.648,10.087,236.197,423.208
1987 December,209.308,10.423,244.104,475.58,222.161,9.312,0.002,0.002,209.308,24.373,10.423,244.104,475.58
1988 January,218.368,10.508,255.331,495.132,230.477,9.312,0.005,0.007,218.368,26.455,10.508,255.331,495.132
